Cell_Designation,Time_Point,Polarity_Patch_Number,Polarity_Patch_Number_2
rcc096_1_s1_k,35,1,1
rcc096_1_s1_k,36,1,1
rcc096_1_s1_k,37,1,1
rcc096_1_s1_k,38,1,1
rcc096_1_s1_k,39,1,1
rcc096_1_s1_k,40,2,2
rcc096_1_s1_k,41,1,1
rcc096_1_s1_k,42,1,1
rcc096_1_s1_k,43,0,0
rcc096_1_s1_k,44,1,1
rcc096_1_s1_k,45,1,1
rcc096_1_s1_k,46,0,0
rcc096_1_s1_k,47,0,0
rcc096_1_s1_k,48,0,0
rcc096_1_s1_k,49,0,0
rcc096_1_s1_k,50,0,0
rcc096_1_s1_k,51,0,0
rcc096_1_s1_k,52,0,0
rcc096_1_s1_k,53,1,1
rcc096_1_s1_k,54,0,0
rcc096_1_s1_k,55,0,0
rcc096_1_s1_k,56,0,0
rcc096_1_s1_k,57,0,0
rcc096_1_s1_k,58,0,0
rcc096_1_s1_k,59,0,0
rcc096_1_s1_k,60,0,0
rcc096_1_s1_k,61,0,0
rcc096_1_s1_l,1,2,2
rcc096_1_s1_l,2,1,1
rcc096_1_s1_l,3,1,1
rcc096_1_s1_l,4,2,2
rcc096_1_s1_l,5,1,1
rcc096_1_s1_l,6,1,1
rcc096_1_s1_l,7,1,1
rcc096_1_s1_l,8,1,1
rcc096_1_s1_l,9,1,Committed
rcc096_1_s1_l,10,1,Committed
rcc096_1_s1_l,11,1,Committed
rcc096_1_s1_l,12,1,Committed
rcc096_1_s1_l,13,1,Committed
rcc096_1_s1_l,14,1,Committed
rcc096_1_s1_l,15,1,Committed
rcc096_1_s1_l,16,1,Committed
rcc096_1_s1_l,17,NA,Fusion
rcc096_1_s1_l,18,NA,Fusion
rcc096_1_s1_l,19,NA,Fusion
rcc096_1_s1_l,20,NA,Fusion
rcc096_1_s1_l,21,NA,Fusion
rcc096_1_s1_l,22,NA,Fusion
rcc096_1_s1_l,23,NA,Fusion
rcc096_1_s1_l,24,NA,Fusion
rcc096_1_s1_l,25,NA,Fusion
rcc096_1_s1_l,26,NA,Fusion
rcc096_1_s1_l,27,NA,Fusion
rcc096_1_s1_l,28,NA,Fusion
rcc096_1_s1_l,29,NA,Fusion
rcc096_1_s1_l,30,NA,Fusion
rcc096_1_s1_l,31,NA,Fusion
rcc096_1_s1_l,32,NA,Fusion
rcc096_1_s1_l,33,NA,Fusion
rcc096_1_s1_l,34,NA,Fusion
rcc096_1_s1_l,35,NA,Fusion
rcc096_1_s1_l,36,NA,Fusion
rcc096_1_s1_l,37,NA,Fusion
rcc096_1_s1_l,38,NA,Fusion
rcc096_1_s1_l,39,NA,Fusion
